,reviews,sentiment,cleaned_reviews
748,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,watched price inflate portion get smaller management attitude grow rapidly
749,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,wonderful lil tapa ambience made feel warm fuzzy inside
750,"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,got enjoy seafood salad fabulous vinegrette
751,"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,wonton thin thick chewy almost melt mouth
752,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,level spicy wa perfect spice whelm soup
753,We were sat right on time and our server from the get go was FANTASTIC!,1,sat right time server get go wa fantastic
754,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,main thing enjoy crowd older crowd around mid
755,"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,side town definitely spot hit
756,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,wait minute get drink longer get arepas
757,This is a GREAT place to eat!,1,great place eat
758,The jalapeno bacon is soooo good.,1,jalapeno bacon soooo good
759,The service was poor and thats being nice.,0,service wa poor thats nice
760,"Food was good, service was good, Prices were good.",1,food wa good service wa good price good
761,The place was not clean and the food oh so stale!,0,place wa clean food oh stale
762,"The chicken dishes are OK, the beef is like shoe leather.",0,chicken dish ok beef like shoe leather
763,But the service was beyond bad.,0,service wa beyond bad
764,"I'm so happy to be here!!!""",1,happy
765,Tasted like dirt.,0,tasted like dirt
766,One of the few places in Phoenix that I would definately go back to again .,1,one place phoenix would definately go back
767,The block was amazing.,1,block wa amazing
768,"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,close house low key non fancy affordable price good food
769,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,hot sour egg flower soup absolutely star
770,My sashimi was poor quality being soggy and tasteless.,0,sashimi wa poor quality soggy tasteless
771,Great time - family dinner on a Sunday night.,1,great time family dinner sunday night
772,"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0,food tasty say real traditional hunan style
773,"What did bother me, was the slow service.",0,bother wa slow service
774,The flair bartenders are absolutely amazing!,1,flair bartender absolutely amazing
775,Their frozen margaritas are WAY too sugary for my taste.,0,frozen margarita way sugary taste
776,These were so good we ordered them twice.,1,good ordered twice
777,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,nutshell restaraunt smell like combination dirty fish market sewer
778,My girlfriend's veal was very bad.,0,girlfriend veal wa bad
779,"Unfortunately, it was not good.",0,unfortunately wa good
780,I had a pretty satifying experience.,1,pretty satifying experience
781,Join the club and get awesome offers via email.,1,join club get awesome offer via email
782,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,perfect someone like beer ice cold case even colder
783,Bland and flavorless is a good way of describing the barely tepid meat.,0,bland flavorless good way describing barely tepid meat
784,"The chains, which I'm no fan of, beat this place easily.",0,chain fan beat place easily
785,The nachos are a MUST HAVE!,1,nacho must
786,We will not be coming back.,0,coming back
787,"I don't have very many words to say about this place, but it does everything pretty well.",1,many word say place doe everything pretty well
788,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,staff super nice quick even crazy crowd downtown jury lawyer court staff
789,"Great atmosphere, friendly and fast service.",1,great atmosphere friendly fast service
790,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,received pita wa huge lot meat thumb
791,Once your food arrives it's meh.,0,food arrives meh
792,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,paying hot dog fry look like came kid meal wienerschnitzel idea good meal
793,The classic Maine Lobster Roll was fantastic.,1,classic maine lobster roll wa fantastic
794,"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0,brother law work mall ate day guess wa sick night
795,So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,good going review place twice hereas tribute place tribute event held last night
796,"The chips and salsa were really good, the salsa was very fresh.",1,chip salsa really good salsa wa fresh
797,This place is great!!!!!!!!!!!!!!,1,place great
798,Mediocre food.,0,mediocre food
799,Once you get inside you'll be impressed with the place.,1,get inside impressed place
800,I'm super pissd.,0,super pissd
801,And service was super friendly.,1,service wa super friendly
802,Why are these sad little vegetables so overcooked?,0,sad little vegetable overcooked
803,This place was such a nice surprise!,1,place wa nice surprise
804,They were golden-crispy and delicious.,1,golden crispy delicious
805,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0,high hope place since burger cooked charcoal grill unfortunately taste fell flat way flat
806,I could eat their bruschetta all day it is devine.,1,could eat bruschetta day devine
807,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,single employee came see ok even needed water refill finally served u food
808,"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,lastly mozzarella stick best thing ordered
809,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1,first time ever came amazing experience still tell people awesome duck wa
810,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,server wa negligent need made u feel unwelcome would suggest place
811,The service was terrible though.,0,service wa terrible though
812,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,place overpriced consistent boba really overpriced
813,It was packed!!,0,wa packed
814,I love this place.,1,love place
815,I can say that the desserts were yummy.,1,say dessert yummy
816,The food was terrible.,0,food wa terrible
817,The seasonal fruit was fresh white peach puree.,1,seasonal fruit wa fresh white peach puree
818,It kept getting worse and worse so now I'm officially done.,0,kept getting worse worse officially done
819,This place should honestly be blown up.,0,place honestly blown
820,But I definitely would not eat here again.,0,definitely would eat
821,Do not waste your money here!,0,waste money
822,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1,love put food nice plastic container opposed cramming little paper takeout box
823,The crêpe was delicate and thin and moist.,1,cr pe wa delicate thin moist
824,Awful service.,0,awful service
825,Won't ever go here again.,0,ever go
826,Food quality has been horrible.,0,food quality ha horrible
827,For that price I can think of a few place I would have much rather gone.,0,price think place would much rather gone
828,The service here is fair at best.,0,service fair best
829,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,love sushi found kabuki priced hip service
830,Do yourself a favor and stay away from this dish.,0,favor stay away dish
831,Very poor service.,0,poor service
832,No one at the table thought the food was above average or worth the wait that we had for it.,0,one table thought food wa average worth wait
833,"Best service and food ever, Maria our server was so good and friendly she made our day.",1,best service food ever maria server wa good friendly made day
834,They were excellent.,1,excellent
835,I paid the bill but did not tip because I felt the server did a terrible job.,0,paid bill tip felt server terrible job
836,Just had lunch here and had a great experience.,1,lunch great experience
837,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,never bland food surprised considering article read focused much spice flavor
838,Food is way overpriced and portions are fucking small.,0,food way overpriced portion fucking small
839,I recently tried Caballero's and I have been back every week since!,1,recently tried caballero back every week since
840,"for 40 bucks a head, i really expect better food.",0,buck head really expect better food
841,The food came out at a good pace.,1,food came good pace
842,"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1,ate twice last visit especially enjoyed salmon salad
843,I won't be back.,0,back
844,We could not believe how dirty the oysters were!,0,could believe dirty oyster
845,This place deserves no stars.,0,place deserves star
846,I would not recommend this place.,0,would recommend place
847,"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,fact going round star wa awesome
848,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0,disbelief dish qualified worst version food ever tasted
849,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0,bad day low tolerance rude customer service people job nice polite wash dish otherwise
850,the potatoes were great and so was the biscuit.,1,potato great wa biscuit
851,I probably would not go here again.,0,probably would go
852,So flavorful and has just the perfect amount of heat.,1,flavorful ha perfect amount heat
853,The price is reasonable and the service is great.,1,price reasonable service great
854,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,wife hated meal coconut shrimp friend really enjoy meal either
855,My fella got the huevos rancheros and they didn't look too appealing.,0,fella got huevos rancheros look appealing
856,"Went in for happy hour, great list of wines.",1,went happy hour great list wine
857,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1,may say buffet pricey think get pay place getting quite lot
858,I probably won't be coming back here.,0,probably coming back
859,Worst food/service I've had in a while.,0,worst food service
860,"This place is pretty good, nice little vibe in the restaurant.",1,place pretty good nice little vibe restaurant
861,Talk about great customer service of course we will be back.,1,talk great customer service course back
862,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,hot dish hot cold dish close room temp watched staff prepare food bare hand glove everything deep fried oil
863,I love their fries and their beans.,1,love fry bean
864,Always a pleasure dealing with him.,1,always pleasure dealing
865,"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1,plethora salad sandwich everything tried get seal approval
866,This place is awesome if you want something light and healthy during the summer.,1,place awesome want something light healthy summer
867,"For sushi on the Strip, this is the place to go.",1,sushi strip place go
868,"The service was great, even the manager came and helped with our table.",1,service wa great even manager came helped table
869,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0,feel dining room wa college cooking course high class dining service wa slow best
870,"I started this review with two stars, but I'm editing it to give it only one.",0,started review two star editing give one
871,this is the worst sushi i have ever eat besides Costco's.,0,worst sushi ever eat besides costco
872,"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1,excellent restaurant highlighted great service unique menu beautiful setting
873,My boyfriend and i sat at the bar and had a completely delightful experience.,1,boyfriend sat bar completely delightful experience
874,Weird vibe from owners.,0,weird vibe owner
875,There was hardly any meat.,0,wa hardly meat
876,I've had better bagels from the grocery store.,0,better bagel grocery store
877,Go To Place for Gyros.,1,go place gyro
878,"I love the owner/chef, his one authentic Japanese cool dude!",1,love owner chef one authentic japanese cool dude
879,"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0,burger good pizza used amazing doughy flavorless
880,I found a six inch long piece of wire in my salsa.,0,found six inch long piece wire salsa
881,"The service was terrible, food was mediocre.",0,service wa terrible food wa mediocre
882,We definately enjoyed ourselves.,1,definately enjoyed
883,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,ordered albondigas soup wa warm tasted like tomato soup frozen meatball
884,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,three different occasion asked well done medium well three time got bloodiest piece meat plate
885,I had about two bites and refused to eat anymore.,0,two bite refused eat anymore
886,The service was extremely slow.,0,service wa extremely slow
887,"After 20 minutes wait, I got a table.",0,minute wait got table
888,Seriously killer hot chai latte.,1,seriously killer hot chai latte
889,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0,allergy warning menu waitress absolutely clue meal contain peanut
890,My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1,boyfriend tried mediterranean chicken salad fell love
891,Their rotating beers on tap is also a highlight of this place.,1,rotating beer tap also highlight place
892,Pricing is a bit of a concern at Mellow Mushroom.,0,pricing bit concern mellow mushroom
893,Worst Thai ever.,0,worst thai ever
894,If you stay in Vegas you must get breakfast here at least once.,1,stay vega must get breakfast least
895,I want to first say our server was great and we had perfect service.,1,want first say server wa great perfect service
896,The pizza selections are good.,1,pizza selection good
897,"I had strawberry tea, which was good.",1,strawberry tea wa good
898,Highly unprofessional and rude to a loyal patron!,0,highly unprofessional rude loyal patron
899,"Overall, a great experience.",1,overall great experience
900,Spend your money elsewhere.,0,spend money elsewhere
901,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1,regular toasted bread wa equally satisfying occasional pat butter mmmm
902,The Buffet at Bellagio was far from what I anticipated.,0,buffet bellagio wa far anticipated
903,"And the drinks are WEAK, people!",0,drink weak people
904,-My order was not correct.,0,order wa correct
905,"Also, I feel like the chips are bought, not made in house.",0,also feel like chip bought made house
906,After the disappointing dinner we went elsewhere for dessert.,0,disappointing dinner went elsewhere dessert
907,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1,chip sals amazing
908,We won't be returning.,0,returning
909,This is my new fav Vegas buffet spot.,1,new fav vega buffet spot
910,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0,seriously believe owner ha many unexperienced employee running around like chicken head cut
911,"Very, very sad.",0,sad
912,"i felt insulted and disrespected, how could you talk and judge another human being like that?",0,felt insulted disrespected could talk judge another human like
913,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0,call steakhouse properly cook steak understand
914,I'm not impressed with the concept or the food.,0,impressed concept food
915,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0,thing crazy wa guacamole like pur ed
916,"There is really nothing for me at postinos, hope your experience is better",0,really nothing postinos hope experience better
917,I got food poisoning here at the buffet.,0,got food poisoning buffet
918,They brought a fresh batch of fries and I was thinking yay something warm but no!,0,brought fresh batch fry wa thinking yay something warm
919,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0,hilarious yummy christmas eve dinner remember wa biggest fail entire trip u
920,"Needless to say, I won't be going back anytime soon.",0,needle say going back anytime soon
921,This place is disgusting!,0,place disgusting
922,"Every time I eat here, I see caring teamwork to a professional degree.",1,every time eat see caring teamwork professional degree
923,The RI style calamari was a joke.,0,ri style calamari wa joke
924,"However, there was so much garlic in the fondue, it was barely edible.",0,however wa much garlic fondue wa barely edible
925,"I could barely stomach the meal, but didn't complain because it was a business lunch.",0,could barely stomach meal complain wa business lunch
926,"It was so bad, I had lost the heart to finish it.",0,wa bad lost heart finish
927,It also took her forever to bring us the check when we asked for it.,0,also took forever bring u check asked
928,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0,one make scene restaurant get definitely lost love one
929,Disappointing experience.,0,disappointing experience
930,"The food is about on par with Denny's, which is to say, not good at all.",0,food par denny say good
931,"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",0,want wait mediocre food downright terrible service place
932,WAAAAAAyyyyyyyyyy over rated is all I am saying.,0,waaaaaayyyyyyyyyy rated saying
933,We won't be going back.,0,going back
934,The place was fairly clean but the food simply wasn't worth it.,0,place wa fairly clean food simply worth
935,This place lacked style!!,0,place lacked style
936,"The sangria was about half of a glass wine full and was $12, ridiculous.",0,sangria wa half glass wine full wa ridiculous
937,Don't bother coming here.,0,bother coming
938,"The meat was pretty dry, I had the sliced brisket and pulled pork.",0,meat wa pretty dry sliced brisket pulled pork
939,"The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn't eat here again.",0,building seems pretty neat bathroom pretty trippy eat
940,It was equally awful.,0,wa equally awful
941,Probably not in a hurry to go back.,0,probably hurry go back
942,very slow at seating even with reservation.,0,slow seating even reservation
943,Not good by any stretch of the imagination.,0,good stretch imagination
944,The cashew cream sauce was bland and the vegetables were undercooked.,0,cashew cream sauce wa bland vegetable undercooked
945,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0,chipolte ranch dipping sause wa tasteless seemed thin watered heat
946,"It was a bit too sweet, not really spicy enough, and lacked flavor.",0,wa bit sweet really spicy enough lacked flavor
947,I was VERY disappointed!!,0,wa disappointed
948,This place is horrible and way overpriced.,0,place horrible way overpriced
949,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0,maybe vegetarian fare twice thought wa average best
950,It wasn't busy at all and now we know why.,0,busy know
951,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0,table outside also dirty lot time worker always friendly helpful menu
952,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0,ambiance feel like buffet setting douchey indoor garden tea biscuit
953,Con: spotty service.,0,con spotty service
954,"The fries were not hot, and neither was my burger.",0,fry hot neither wa burger
955,But then they came back cold.,0,came back cold
956,"Then our food came out, disappointment ensued.",0,food came disappointment ensued
957,The real disappointment was our waiter.,0,real disappointment wa waiter
958,My husband said she was very rude... did not even apologize for the bad food or anything.,0,husband said wa rude even apologize bad food anything
959,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0,reason eat would fill night binge drinking get carbs stomach
960,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0,insult profound deuchebaggery go outside smoke break serving solidify
961,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0,someone order two taco think may part customer service ask combo ala cart
962,She was quite disappointed although some blame needs to be placed at her door.,0,wa quite disappointed although blame need placed door
963,After all the rave reviews I couldn't wait to eat here......what a disappointment!,0,rave review wait eat disappointment
964,Del Taco is pretty nasty and should be avoided if possible.,0,del taco pretty nasty avoided possible
965,It's NOT hard to make a decent hamburger.,0,hard make decent hamburger
966,But I don't like it.,0,like
967,Hell no will I go back,0,hell go back
968,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0,gotten much better service pizza place next door service received restaurant
969,"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0,know big deal place back ya
970,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0,immediately said wanted talk manager want talk guy wa shot fireball behind bar
971,The ambiance isn't much better.,0,ambiance much better
972,"Unfortunately, it only set us up for disapppointment with our entrees.",0,unfortunately set u disapppointment entree
973,The food wasn't good.,0,food good
974,"Your servers suck, wait, correction, our server Heimer sucked.",0,server suck wait correction server heimer sucked
975,What happened next was pretty....off putting.,0,happened next wa pretty putting
976,"too bad cause I know it's family owned, I really wanted to like this place.",0,bad cause know family owned really wanted like place
977,Overpriced for what you are getting.,0,overpriced getting
978,I vomited in the bathroom mid lunch.,0,vomited bathroom mid lunch
979,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0,kept looking time soon become minute yet still food
980,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0,place eat circumstance would ever return top list
981,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0,started tuna sashimi wa brownish color obviously fresh
982,Food was below average.,0,food wa average
983,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0,sure doe beat nacho movie would expect little bit coming restaurant
984,"All in all, Ha Long Bay was a bit of a flop.",0,ha long bay wa bit flop
985,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0,problem charge sandwich bigger subway sub offer better amount vegetable
986,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0,shrimp unwrapped live mile brushfire wa literally ice cold
987,"It lacked flavor, seemed undercooked, and dry.",0,lacked flavor seemed undercooked dry
988,It really is impressive that the place hasn't closed down.,0,really impressive place closed
989,I would avoid this place if you are staying in the Mirage.,0,would avoid place staying mirage
990,The refried beans that came with my meal were dried out and crusty and the food was bland.,0,refried bean came meal dried crusty food wa bland
991,Spend your money and time some place else.,0,spend money time place else
992,A lady at the table next to us found a live green caterpillar In her salad.,0,lady table next u found live green caterpillar salad
993,the presentation of the food was awful.,0,presentation food wa awful
994,I can't tell you how disappointed I was.,0,tell disappointed wa
995,I think food should have flavor and texture and both were lacking.,0,think food flavor texture lacking
996,Appetite instantly gone.,0,appetite instantly gone
997,Overall I was not impressed and would not go back.,0,overall wa impressed would go back
998,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0,whole experience wa underwhelming think go ninja sushi next time
999,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0,wasted enough life poured salt wound drawing time took bring check
